"athlets","run100m","run400m","run1500m","run110mhurdle","longjump","highjump","polevault","shotput","discus","javeline"
"Sebrle",10.85,48.36,280.01,14.05,7.84,2.12,5,16.36,48.72,70.52
"Clay",10.44,49.19,282,14.13,7.96,2.06,4.9,15.23,50.11,69.71
"Karpov",10.5,46.81,278.11,13.97,7.81,2.09,4.6,15.93,51.65,55.54
"Macey",10.89,48.97,265.42,14.56,7.47,2.15,4.4,15.73,48.34,58.46
"Warners",10.62,47.97,278.05,14.01,7.74,1.97,4.9,14.48,43.73,55.39
"Zsivoczky",10.91,49.4,269.54,14.95,7.14,2.12,4.7,15.31,45.62,63.45
"Hernu",10.97,48.73,264.35,14.25,7.19,2.03,4.8,14.65,44.72,57.76
"Nool",10.8,48.81,276.33,14.8,7.53,1.88,5.4,14.26,42.05,61.33
"Bernard",10.69,49.13,276.31,14.17,7.48,2.12,4.4,14.8,44.75,55.27
"Schwarzl",10.98,49.76,273.56,14.25,7.49,1.94,5.1,14.01,42.43,56.32
"Pogorelov",10.95,50.79,287.63,14.21,7.31,2.06,5,15.1,44.6,53.45
"Schoenbeck",10.9,50.3,278.82,14.34,7.3,1.88,5,14.77,44.41,60.89
"Barras",11.14,49.41,267.09,14.37,6.99,1.94,4.6,14.91,44.83,64.55
"Smith",10.85,49.27,272.74,14.01,6.81,1.91,4.2,15.24,49.02,61.52
"Averyanov",10.55,49.72,271.02,14.39,7.34,1.94,4.8,14.44,39.88,54.51
"Ojaniemi",10.68,49.12,275.71,15.01,7.5,1.94,4.6,14.97,40.35,59.26
"Smirnov",10.89,49.11,263.31,14.77,7.07,1.94,4.7,13.88,42.47,60.88
"Qi",11.06,49.65,272.63,14.78,7.34,1.97,4.5,13.55,45.13,60.79
"Drews",10.87,48.51,274.21,14.01,7.38,1.88,5,13.07,40.11,51.53
"Parkhomenko",11.14,51.04,277.94,14.88,6.61,2.03,4.8,15.69,41.9,65.82
"Terek",10.92,49.56,290.36,15.12,6.94,1.94,5.3,15.15,45.62,50.62
"Gomez",11.08,48.61,269.7,14.41,7.26,1.85,4.4,14.57,40.95,60.71
"Turi",11.08,51.67,290.01,14.26,6.91,2.03,4.8,13.62,39.83,59.34
"Lorenzo",11.1,49.34,263.08,15.38,7.03,1.85,4.5,13.22,40.22,58.36
"Karlivans",11.33,50.54,278.67,14.98,7.26,1.97,4.5,13.3,43.34,52.92
"Korkizoglou",10.86,51.16,317,14.96,7.07,1.94,4.7,14.81,46.07,53.05
"Uldal",11.23,50.95,281.7,15.09,6.99,1.85,4.5,13.53,43.01,60
"Casarsa",11.36,53.2,296.12,15.39,6.68,1.94,4.4,14.92,48.66,58.62
