"country","survexp","tradsec"
"Algeria",0.514254039135357,0.486437676334932
"Azerbaijan",0.318242709421569,0.527186670654209
"Argentina",0.826926185035471,0.61810801150068
"Australia",1.23005028706014,0.872577332273548
"Bahrain",0.500598410631757,0.547868350007927
"Armenia",0.381261690561943,0.429414325298094
"Brazil",0.706274075040936,0.562151071019223
"Chile",0.734400844838349,0.603815767922885
"China",0.518044486892245,0.765801850860682
"Taiwan",0.634460156312553,0.980760136029058
"Colombia",0.706509650624635,0.474658016839927
"Cyprus (G)",0.642988580367398,0.663825194819302
"Ecuador",0.584245443536498,0.446454409152019
"Estonia",0.655059407043939,1.03759959608511
"Georgia",0.331889284954192,0.456853052040264
"Palestine",0.471821839197032,0.432378847905724
"Germany",1.03033335737331,1.06105334180744
"Ghana",0.370451996591972,0.289489515604624
"Hong Kong",0.752582919617312,0.935710943218655
"India",0.686718866894768,0.708745929593417
"Iraq",0.407889023067628,0.448591863394778
"Japan",0.830922072270471,1.2652409544499
"Kazakhstan",0.412936488574687,0.49389268075509
"Jordan",0.301939698645349,0.39850206675532
"South Korea",0.585874596288341,0.976575930046701
"Kyrgyzstan",0.470572730932025,0.496969832533708
"Lebanon",0.469112517452061,0.711193623863934
"Libya",0.478942940526563,0.468604705831897
"Malaysia",0.384851269924477,0.447554984195853
"Mexico",0.842270847545097,0.537249361007439
"Morocco",0.456597571648689,0.504493250795557
"Netherlands",1.27575991949166,1.06458545022489
"New Zealand",1.41694848837242,0.827975188305447
"Nigeria",0.516342716721034,0.484503458611807
"Pakistan",0.672924323146136,0.547912185614354
"Peru",0.612079956796856,0.438145046075271
"Philippines",0.576526433807745,0.406380029746075
"Poland",0.697433529879118,0.62006092787976
"Romania",0.533247792057913,0.615453625300664
"Russia",0.499894551224505,0.706144831794196
"Rwanda",0.408443610813851,0.394350492082568
"Slovenia",0.90219210415492,1.0718172707804
"South Africa",0.702137340781692,0.685520896147719
"Zimbabwe",0.45334449625892,0.348684492992565
"Spain",0.859694708294468,0.888234797563963
"Sweden",1.65675705333748,1.34205806928406
"Thailand",0.51322838997947,0.52644454651648
"Trinidad and Tobago",0.553015767677786,0.373941944619982
"Tunisia",0.337845816057389,0.517915914930459
"Turkey",0.507545623225085,0.524656737394078
"Ukraine",0.476858053322986,0.825690360069682
"United States",1.10352090700341,0.864350614729015
"Uruguay",0.908520542707109,0.848383933787584
"Yemen",0.448507693515652,0.472754410718295
"Andorra",1.16727439035496,1.07091546596385
"Bulgaria",0.676703282451737,1.0224652250851
"Canada",1.34593396163442,0.670709807847198
"Ethiopia",0.594809989264923,0.362038795888865
"Finland",1.17577403130737,0.84903215707943
"France",1.12192324680622,0.948929913205228
"Guatemala",0.616173972326852,0.410590603947638
"Hungary",0.586981987529604,0.96332665497057
"Indonesia",0.472074168932932,0.390770257963873
"Italy",0.792413653137356,0.726908361348498
"Mali",0.712248593636406,0.374511353428925
"Moldova",0.477539665084476,0.794760217714736
"Norway",1.54466457042937,1.10387271431835
"Viet Nam",0.443638567652038,0.336721092644442
"Great Britain",1.22785477559027,0.731020786583858
"Burkina Faso",0.54685366684385,0.403710281463282
"Serbia and Montenegro",0.579585891015578,0.824006365182775
"Zambia",0.473155743270035,0.683554965604241
"Albania",0.517624105148647,0.671241795008809
"Bangladesh",0.43145962113649,0.382906209154189
"Bosnia",0.524840741170941,0.845820052361046
"Israel",0.984446010858515,0.903046499711502
"Puerto Rico",0.839022945203216,0.272289631530735
"Singapore",0.536653178445148,0.541300121833271
"Uganda",0.510156544310352,0.391626364468681
"Macedonia",0.564278780333272,0.69752198505378
"Egypt",0.486881780709531,0.320398781740935
"Tanzania",0.402901630798748,0.72431580420863
"Venezuela",0.692070583510671,0.436414458084717
"Belarus",0.486745557264568,0.886805972792492
"Croatia",0.757964365951629,1.21509300391586
"Czech Rep.",0.778686136589373,1.09717512765835
"Dominican Rep.",0.684613388166282,0.611208002288139
"Latvia",0.521379285698354,1.18206690232026
"Lithuania",0.472818891716532,0.999128259126414
"Slovakia",0.649247007143141,0.891015207085975
"Switzerland",1.00810073124159,1.01397861081421
"Bosnian Federation",0.539466028766498,0.670765562487759
